name,address,counties,phone,lon,lat
Anacortes Housing Authority,"719 Q Avenue, Anacortes, WA 98221","San Juan, Skagit",(360) 293-7831,-122.6104749,48.51597767
Housing Authority of Asotin County,"1212 Fair Street, Clarkston, WA 99403",Asotin,(509) 758-5751,-117.0542922,46.42187532
Bellingham/Whatcom County Housing Authority,"P.O. Box 9701, Bellingham, WA 98227-9701",Whatcom,(360) 676-6887,-122.4763701,48.75318335
Bremerton Housing Authority,"600 Park Avenue, Bremerton, WA 98337","Kitsap, Mason",(360) 479-3694,-122.6299695,47.56750729
Housing Authority if Chelan County & the City of Wenatchee,"1555 South Methow, Wenatchee, WA 98801","Chelan, Douglas",(509) 663-7421,-120.3074226,47.40090631
Columbia Gorge Housing Authority,"P.O. Box 1703, White Salmon, Washington 98672",Klickitat and Skamania,(888) 356-8919,-121.1793977,45.59995038
Everett Housing Authority,"3107 Colby Avenue, P.O. Box 1547, Everett, WA 98206-1547",Snohomish,(425) 258-9222,-122.2081695,47.97625601
Housing Authority of Grant County,"1139 Larson Boulevard, Moses Lake, WA 98837",Grant,(509) 762-5541,-119.3260828,47.17661727
Housing Authority of Grays Harbor County,"602 East First Street, Aberdeen, WA 98520",Grays Harbor,(360) 532-0570,-123.8138532,46.97926522
Housing Authority of Island County,"7 NW 6th Street, Coupeville, WA 98239-3400",Island,(360) 678-4181,-122.6874533,48.21718224
Peninsula Housing Authority,"2603 South Francis Street, Port Angeles, WA 98362","Clallam, Jefferson",(360) 452-7631,-123.4294221,48.1022378
Kelso Housing Authority,"1415 South 10th, Kelso, WA 98626",Cowlitz,(360) 423-3490,-122.9081245,46.13098892
Housing Authority City of Kennewick,"1915 W. 4th Place, Kennewick, WA 99336",Benton,(509) 586-8576,-119.1454721,46.20472222
King County Housing Authority,"600 Andover Park West, Seattle, WA 98188",King,(206) 574-1100,-122.2537054,47.44991839
Housing Kitsap,"2244 NW Bucklin Hills Rd, Silverdale, WA 98383","Kitsap, Mason",(360) 535-6100,-122.6819185,47.65087759
Housing Authority of Kittitas County,"107 West 11th Ave., Ellensburg, WA 98926",Kittitas,(509) 962-9006,-120.5481408,47.00293304
Longview Housing Authority,"820 11th Avenue, Longview, WA 98632","Cowlitz, Lewis, Pacific, Wahkiakum",(360) 423-0140,-122.9349146,46.12812663
Housing Authority of Okanogan County,"431 5th Ave West, Omak, WA 98841",Okanogan,(509) 422-3721,-119.5363471,48.40395079
Oroville Housing Authority,"P.O. Box 1242, Oroville, WA 98844",Okanogan,(509) 476-3059,-119.4344286,48.92729352
Othello Housing Authority,"335 N. Third Street, Othello, WA 99344",Adams,(509) 488-3527,-119.1713194,46.82979736
Housing Authority of the City of Pasco and Franklin County,"2505 W. Lewis Street, Pasco, WA 99301",Franklin,(509) 547-3581,-119.1243801,46.23175497
Pierce County Housing Authority,"603 Polk St S, Tacoma, WA 98444",Pierce,(253) 620-5400,-122.4393548,47.15698168
Renton Housing Authority,"2900 NE 10th Street, P.O. Box 2316, Renton, WA 98056",King,(425) 226-1850,-122.1789774,47.49928
Republic/Ferry County Joint Housing Authority,"83-1 N. Kauffman Street, Republic, WA 99166",Ferry,(509) 775-3924,-118.7406312,48.64957639
Seattle Housing Authority,"190 Queen Anne Ave North, P.O. Box 19028, Seattle, WA 98109-1028",King,(206) 615-3300,-122.3566031,47.61962386
Housing Authority of Skagit County,"1650 Port Drive, Burlington, WA 98233",Skagit,(360) 428-1959,-122.3268153,48.45381273
Snohomish County Housing Authority,"12711 4th Avenue, West, Everett, WA 98204",Snohomish,(425) 290-8499,-122.2377554,47.88342103
Spokane Housing Authority,"55 W. Mission Ave., Spokane, WA 99201","Lincoln, Pend Oreille, Spokane, Stevens, Whitman",(509) 328-2953,-117.4124821,47.67369704
"Housing Authority of Sunnyside, Washington","204 South 13th Street, Sunnyside, WA 98944",Yakima,(509) 837-5454,-120.0031261,46.3265432
Tacoma Housing Authority,"902 South L Street, Suite 2A, Tacoma, WA 98405",Pierce,(253) 207-4400,-122.4539195,47.25338413
Housing Authority of Thurston County,"1206 12th Avenue SE, Olympia, WA 98501",Thurston,(360) 753-8292,-122.8854436,47.03837746
Vancouver Housing Authority,"2500 Main Street, Suites 100-200, Vancouver, WA 98660-2697",Clark,(360) 694-2501,-122.6717793,45.63994603
Walla Walla Housing Authority,"501 Cayuse Street, Walla Walla, WA 99362",Walla Walla,(509) 527-4542,-118.3518026,46.06774615
Housing Authority of the City of Yakima,"810 N. 6th Avenue, Yakima, WA 98902",Yakima,(509) 453-3106,-120.5202259,46.61154973
